chunk_text,compound_score,sentiment_label,manuel,compound_score_trad
tout à fait parce qu'en fait Maud Marian et puis vous-même avant vous avez évoqué en fait quelques la démocratie en tout cas son principe il faut savoir que quand on est juriste peu importe votre formation vous recevez aussi,-0.25,négatif,0,-0.2732
une formation en sciences politiques donc pure vous avez bien sûr juridique et puis très lié à elle sur des ramifications vous avez la science politique alors qu'est-ce qui se passe quand on observe avec calme tout ce qui est,-0.128,négatif,0,0.4215
en train justement de se dérouler sous nos yeux ? vous avez plusieurs choses alors je vais vous faire une petite énumération parce que moi en fait je suis ici pour parler pour essayer d'avertir et d'éveiller les gens en,0.0,neutre,0.6,-0.1027
fonction de notre propre domaine de spécialité parce que les gens sont des profanes c'est normal sont encore sauf quand ils ont fait des biens soit comme nous des études de droits qu'ils ont été diplômés d'état et qui ont,0.0,neutre,0.3,0.3612
des titres comme Maud Marian qui est avocate au barreau de Paris à l'heure actuelle nous avons déjà en fait des programmations d'actes juridiques qui seront prêts pour signature bientôt et après moi je vais vous faire un parallèle ce,0.0,neutre,0.,0.6705
qui se passe aussi en sciences politiques quand vous ouvrez un dictionnaire et que sans être forcément diplômé en droit en sciences politiques vous pouvez tout de suite comprendre ce qui se passe vous avez donc le fameux pass sanitaire,-0.128,négatif,0.3,0.0
que Maud évoquait qui devait se terminer pour l'Union européenne ou 30 juin 2023 voilà alors bien sûr tout le début au tout début de cette histoire même en France on disait mais non mais vous inquiétez pas ça sera,-0.25,négatif,0.6,0.0795
uniquement temporaire ça sera quelque chose qui sera limité dans le temps etc bon moi finalement on voit que c'est tout l'inverse puisqu'on voit que c'est même quelque chose qui va être aggravé entre guillemets parce que bien sûr mis,-0.128,négatif,0.6,-0.2263
à part le document ou les communications un peu marketing en disant voilà c'est pour votre bien et puis c'est pour faciliter les déplacements etc bah oui mais le problème c'est que avant on pouvait très bien faire des déplacements,0.0,neutre,0.6,0.3269
où vous voulez on n'avez pas besoin d'un papier particulier donc vous avez donc ce Pass sanitaire ou plutôt vaccinal en fonction de comment est-ce qu'ils identifieront au final cette cette formalité il y aura un volet accentué sur les,0.0,neutre,0.6,0.0772
vaccins ça s'est déclaré par l'OMS voilà c'est ça donc vous aurez ce premier pass au niveau mondial avec l’OMS vous avez aussi les problèmes d’identité numérique okay qui sera de plus en plus une entité basée sur tout ce,0.1027,positif,0.3,-0.2023
qui sera vitesse de connexion rapide via votre identité avec lesquelles on pourra coupler ou analyser toute demande que vous pourriez faire administrative ou autre vous aurez le compte carbone pour le moment c’est pas un pass carbone ils en,0.0,neutre,0.7,0.0
parlent un petit peu on a quelques médias qui préparent un petit peu l’opinion publique sur le fait de voilà ça sera un bel outil pour savoir combien d’émissions à effet de serre on émet et ça pourra servir de,0.0,neutre,0.7,0.4215
référence pour éventuellement contrôler ou abaisser ce qu’on doit émettre comme gaz à effet de serre dans l’année ou sur dix ans etc avec éventuellement un système de sanction qui pourrait être couplé à ça parce que si on dépasse,0.0,neutre,0.7,-0.296
et qu’on a aucune sanction quelque part ils se diront à quoi ça sert donc vous avez aussi les cités aussi qu’on appelle 15 minutes où ce sont des villes où dans un rayon de 15 minutes de votre domicile,0.0,neutre,0.7,-0.296
vous auriez droit aux possibilités de vous déplacer avec tout ce que vous pourriez avoir à proximité de chez vous et que si jamais vous dépassez il se passe quoi ? si vous dépassez votre périmètre de 15 minutes de,-0.128,négatif,0.8,0.2732
votre domicile vous voyez donc c'est des questions là qu'on est c'est des choses qu'on se pose mais vu les dérives qu'on a eu avec le covid pendant trois ans et on voit malheureusement que les juges ne suivent pas,0.0,neutre,0.6,-0.4767
forcément ce qu'il devrait faire en appliquant scrupuleusement et de façon impartiale le droit on est très bien en droit de se dire que pour toutes ces autres choses là il pourra également y avoir des dérives et s'il y,-0.4588,négatif,0.7,0.0
a des dérives et que les juges ne font pas leur boulot à savoir de contrôler les dérives éventuelles de la d'un exécutif on a législatif qu'est-ce qu'on fait et là la petite énumération que j'ai commencé à faire elle,0.0,neutre,0.8,0.0
est pas finie ce quand vous allez après avec la surveillance par l'intelligence artificielle et je vous en je vous rappelle que pour les Jeux Olympiques de Paris en 2024 ça a déjà été approuvé par le Parlement ils ont,0.0,neutre,0.7,0.7096
voté donc ça veut dire que ça aussi c'est pareil ça commence toujours un petit peu on dit toujours que c'est un petit peu facultatif ou qu'on fait des essais et puis après ça ça reste ancré ça reste dans,-0.4588,négatif,0.8,0.0
la société ça se développe partout tout comme finalement ce qu'on a vu avec le pass sanitaire qui maintenant va devenir mondial alors que ça devait être temporaire rappelez-vous donc ensuite vous avez la monnaie numérique l'euro numérique notamment où,-0.128,négatif,0.6,0.0
là dans l’ Immédiat on commençait à avoir des exemples du style vous pourrez pas dépenser plus de 50 euros par jour et avoir 3000 euro d’épargne même les épargne sera maximale que vous aurez vous serez en droit d'avoir,0.0,neutre,0.8,0.2732
après vous avez toute la philosophie et l'idéologie du transhumanisme de l'eugénisme grandement propagé par le World économique forum dont son président Klaus Schwab est un ex membre en plus du fameux club de builderberg dont TF1 a fait une,0.0,neutre,0.3,0.0
émission dessus en 1977 et donc c'est quelque chose encore une fois on peut vous dire avec le sourire qui n'est pas complotiste puisque même si les médias de masse prouvent que leur existence est bien avérée avec des hauts,-0.4588,négatif,0.5,0.7845
chefs occidentaux qui font partie de ces réunions et on n'a pas du tout vu sur l'ordre du jour on est quand même en droit de se dire mais de quoi ressort ces réunions qu'est-ce qu'il en ressort en fait,-0.5423,négatif,0.6,0.1406
vous avez ici l'ascenseur des libertés d'opinion d'expression que Ursula Van der Leyen la présidente de la Commission européenne a appelé de ses vœux pour pouvoir effectivement comme elle le dit dans des beaux des belles des belles exercices de,0.0,neutre,0.3,0.891
communication protéger l'état droit et la démocratie alors que c'est clairement une inversion des valeurs parce que quand vous vous limitez justement les libertés d'opinion expression normalement ce qui on devrait faire c'est que lorsque vous dépassez les bornes et,0.0,neutre,0.6,0.8481
que vous vous rendez coupable de délits pénaux là vous êtes vous êtes interpellé arrêté et puis on enquête mais si on vous supprime d'ores et déjà la possibilité même d'exprimer votre opinion et votre vos expressions bah là en,0.0,neutre,0.6,-0.7351
fait on tombe dans un régime qui est complètement différent de la démocratie et en fait moi ce que j'essaie de vous faire comprendre là c'est que si vous regardez ça au niveau sciences politiques que vous prenez tout ce,-0.128,négatif,0.4,0.0
que je viens de vous dire et parce que tout ça ça a commencé à peu près là à être mis en forme par des actes juridiques qui sont prêts pour signature dès 2024 ou par la loi quasiment déjà,-0.5423,négatif,0.6,0.4588
votée et acceptée comme pour l'intelligence artificielle pour la surveillance pour les Jeux Olympiques de Paris en fait on arrive dans de genre dans ce genre de société ou si vous avez les mêmes dérives qui se sont passés avec,0.0,neutre,0.6,0.6369
le covid et que vous n'arrivez pas à contrôler en fait ces dérives vous serez mathématiquement et en regardant les définitions dans des dictionnaires de sciences politiques vous serez face à quelque chose quand ça en a le goût quand,0.0,neutre,0.3,0.0
ça en a l’odeur l'apparence et l'expression vous serez dans un régime qu'on appelle fasciste juste en regardant les technologies les qualifications de la définition,0.0,neutre,0.8,-0.2732
